Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
YTEN,Yield10 Bioscience Inc.,0.86,10.77,1900,Basic Industries,Containers-Packaging,https://www.nasdaq.com/symbol/yten
GNC,GNC Holdings Inc.,1.94,164.09,2011,Consumer Non-Durables,Food Chains,https://www.nasdaq.com/symbol/gnc
GGB,Gerdau S.A.,2.85,4840,1900,Capital Goods,Steel-Iron Ore,https://www.nasdaq.com/symbol/ggb
GME,Gamestop Corporation,3.82,390.67,2002,Consumer Services,Electronics Distribution,https://www.nasdaq.com/symbol/gme
CLWT,Euro Tech Holdings Company Limited,3.87,7.98,1997,Consumer Durables,Diversified Electronic Products,https://www.nasdaq.com/symbol/clwt
CSS,CSS Industries Inc.,3.98,35.23,1900,Consumer Services,Consumer: Greeting Cards,https://www.nasdaq.com/symbol/css
MIK,The Michaels Companies Inc.,5.56,879.43,2014,Consumer Services,Recreational Products - Toys,https://www.nasdaq.com/symbol/mik
SIRI,Sirius XM Holdings Inc.,6.08,27050,1900,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/siri
GNLN,Greenlane Holdings Inc.,6.61,277.05,2019,Capital Goods,Recreational Products - Toys,https://www.nasdaq.com/symbol/gnln
TGLS,Tecnoglass Inc.,7.04,315.8,2012,Consumer Durables,Electronic Components,https://www.nasdaq.com/symbol/tgls
ACH,Aluminum Corporation of China Limited,7.18,4890,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
ANGI,ANGI Homeservices Inc.,8,4060,1900,Consumer Services,Advertising,https://www.nasdaq.com/symbol/angi
VSLR,Vivint Solar Inc.,8.03,976.6,2014,Capital Goods,Building Products,https://www.nasdaq.com/symbol/vslr
GE,General Electric Company,8.05,70250,1900,Energy,Consumer Electronics-Appliances,https://www.nasdaq.com/symbol/ge
CJ,C&J Energy Services Inc,8.93,105530,2017,Energy,Oilfield Services-Equipment,https://www.nasdaq.com/symbol/cj
FLEX,Flex Ltd.,9.49,4880,1994,Technology,Electrical Products,https://www.nasdaq.com/symbol/flex
AMCR,Amcor plc,9.72,15780,2019,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/amcr
PSO,Pearson Plc,9.94,7770,1900,Consumer Services,Books,https://www.nasdaq.com/symbol/pso
TPC,Tutor Perini Corporation,10.09,507.31,1900,Basic Industries,General Bldg Contractors - Nonresidential Bldgs,https://www.nasdaq.com/symbol/tpc
SSW,Seaspan Corporation,10.2,2200,2005,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/ssw
IPOA,Social Capital Hedosophia Holdings Corp.,10.36,893.55,2017,Finance,Business Services,https://www.nasdaq.com/symbol/ipoa
NYCB,New York Community Bancorp Inc.,11.48,5370,1900,Finance,Banks,https://www.nasdaq.com/symbol/nycb
LFC,China Life Insurance Company Limited,11.58,65460,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/lfc
SFE,Safeguard Scientifics Inc.,12.08,249.48,1900,Finance,Finance - Investors Services,https://www.nasdaq.com/symbol/sfe
REZI,Resideo Technologies Inc.,13.55,1660,2018,Capital Goods,Wholesale Distributors,https://www.nasdaq.com/symbol/rezi
NWS,News Corporation,14.04,8220,1900,Consumer Services,Newspapers-Magazines,https://www.nasdaq.com/symbol/nws
AMRK,A-Mark Precious Metals Inc.,14.31,100.62,1900,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
