Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
KELYA,Kelly Services Inc.,25.49,996.39,1900,Technology,Professional Services,https://www.nasdaq.com/symbol/kelya
CSWI,CSW Industrials Inc.,66.27,995.63,1900,Basic Industries,Home Furnishings,https://www.nasdaq.com/symbol/cswi
AIA,iShares Asia 50 ETF,55.96,993.29,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/aia
RAVN,Raven Industries Inc.,27.61,991.95,1900,Capital Goods,Specialty Chemicals,https://www.nasdaq.com/symbol/ravn
GIII,G-III Apparel Group LTD.,20.26,991.51,1989,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/giii
CDNA,CareDx Inc.,23.35,989.66,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cdna
OFIX,Orthofix Medical Inc. ,51.46,979.35,1992,Health Care,Medical-Dental Instruments,https://www.nasdaq.com/symbol/ofix
AXNX,Axonics Modulation Technologies Inc.,34.29,978.12,2018,Health Care,Medical-Dental Instruments,https://www.nasdaq.com/symbol/axnx
FMB,First Trust Managed Municipal ETF,55.96,973.7,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/fmb
SSP,E.W. Scripps Company (The),12.02,972.09,1900,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/ssp
PHO,Invesco Water Resources ETF,35.28,971.96,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/pho
NTUS,Natus Medical Incorporated,28.52,971.66,1900,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/ntus
CIBR,First Trust NASDAQ Cybersecurity ETF,28.4,968.44,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/cibr
HFWA,Heritage Financial Corporation,26.22,967.05,1900,Finance,Banks,https://www.nasdaq.com/symbol/hfwa
FORTY,Formula Systems (1985) Ltd.,63.17,966.14,1900,Technology,EDP Services,https://www.nasdaq.com/symbol/forty
IGOV,iShares International Treasury Bond ETF,51.22,965.5,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/igov
PRIM,Primoris Services Corporation,18.83,959.99,1900,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/prim
APOG,Apogee Enterprises Inc.,36.14,958.39,1900,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/apog
OMER,Omeros Corporation,19.38,955.19,2009,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/omer
GLIBP,GCI Liberty Inc.,26.6,954.81,1900,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/glibp
XON,Intrexon Corporation,5.86,949.73,1900,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/xon
OSW,OneSpaWorld Holdings Limited,15.51,947.94,1900,Consumer Services,Hotels-Resorts,https://www.nasdaq.com/symbol/osw
EBSB,Meridian Bancorp Inc.,17.73,945.41,1900,Finance,Major Banks,https://www.nasdaq.com/symbol/ebsb
NXGN,NextGen Healthcare Inc.,14.42,942.81,1900,Technology,EDP Services,https://www.nasdaq.com/symbol/nxgn
TDIV,First Trust NASDAQ Technology Dividend Index Fund,37.84,942.41,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/tdiv
MATW,Matthews International Corporation,29.72,935.84,1994,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/matw
HOLI,Hollysys Automation Technologies Ltd.,15.5,935.3,1900,Energy,Industrial Machinery Components,https://www.nasdaq.com/symbol/holi
TIVO,TiVo Corporation,7.41,932.02,1900,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/tivo
LIND,Lindblad Expeditions Holdings Inc. ,18.78,932.01,2013,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/lind
MLAB,Mesa Laboratories Inc.,213.68,930.63,1900,Capital Goods,Industrial Machinery Components,https://www.nasdaq.com/symbol/mlab
DRNA,Dicerna Pharmaceuticals Inc.,13.56,926.96,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/drna
SCWX,SecureWorks Corp.,11.37,926.89,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/scwx
TCMD,Tactile Systems Technology Inc.,48.83,926.22,2016,Health Care,Medical-Dental Instruments,https://www.nasdaq.com/symbol/tcmd
SPNS,Sapiens International Corporation N.V.,18.49,924.17,1992,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/spns
CNXN,PC Connection Inc.,35.11,924.03,1900,Consumer Services,Catalog - Specialty Distribution,https://www.nasdaq.com/symbol/cnxn
NWLI,National Western Life Group Inc.,254.1,923.91,1900,Finance,Life Insurance,https://www.nasdaq.com/symbol/nwli
HHR,HeadHunter Group PLC,18.44,922,2019,Technology,Professional Services,https://www.nasdaq.com/symbol/hhr
SBLK,Star Bulk Carriers Corp.,9.81,918.73,1900,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/sblk
XPER,Xperi Corporation,18.62,918.73,1900,Technology,Semiconductors,https://www.nasdaq.com/symbol/xper
TWST,Twist Bioscience Corporation,28.2,918.16,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/twst
RBCAA,Republic Bancorp Inc.,43.29,906.78,1998,Finance,Major Banks,https://www.nasdaq.com/symbol/rbcaa
ATNI,ATN International Inc.,56.29,900.91,1900,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/atni
ATRO,Astronics Corporation,27.53,899.55,1900,Capital Goods,Military-Government-Technical,https://www.nasdaq.com/symbol/atro
PETQ,PetIQ Inc.,31.85,898.91,2017,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/petq
SNDL,Sundial Growers Inc.,9.53,896.6,2019,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/sndl
YMAB,Y-mAbs Therapeutics Inc.,26.18,895.19,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ymab
HONE,HarborOne Bancorp Inc.,9.97,892.5,2016,Finance,Major Banks,https://www.nasdaq.com/symbol/hone
LMNX,Luminex Corporation,19.79,891.48,2000,Health Care,Medical-Dental Instruments,https://www.nasdaq.com/symbol/lmnx
TRUP,Trupanion Inc.,25.61,890.98,1900,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/trup
ESGD,iShares ESG MSCI EAFE ETF,61.48,885.31,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/esgd
MIK,The Michaels Companies Inc.,5.56,879.43,2014,Consumer Services,Recreational Products - Toys,https://www.nasdaq.com/symbol/mik
INFN,Infinera Corporation,4.88,875.46,2007,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/infn
LNTH,Lantheus Holdings Inc.,22.35,873.42,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/lnth
BPFH,Boston Private Financial Holdings Inc.,10.39,871.74,1900,Finance,Major Banks,https://www.nasdaq.com/symbol/bpfh
PRNB,Principia Biopharma Inc.,36.25,868.94,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/prnb
CMCT,CIM Commercial Trust Corporation,19.8,867.37,1900,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cmct
SPPI,Spectrum Pharmaceuticals Inc.,7.68,866.73,1900,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sppi
AXSM,Axsome Therapeutics Inc.,25.15,865.63,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/axsm
TVTY,Tivity Health Inc.,18.09,865.3,1900,Health Care,Hospital-Nursing Management,https://www.nasdaq.com/symbol/tvty
HEES,H&E Equipment Services Inc.,24.18,865.11,2006,Not Available,Not Available,https://www.nasdaq.com/symbol/hees
HSTM,HealthStream Inc.,26.72,865.02,2000,Technology,Computer Software: Programming Data Processing,https://www.nasdaq.com/symbol/hstm
SLRC,Solar Capital Ltd.,20.44,863.81,2010,Not Available,Not Available,https://www.nasdaq.com/symbol/slrc
FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,50.15,860.17,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/fdt
FARO,FARO Technologies Inc.,49.48,857.94,1997,Capital Goods,Industrial Machinery Components,https://www.nasdaq.com/symbol/faro
QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund,22,857.29,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/qqqx
PACB,Pacific Biosciences of California Inc.,5.6,856.6,2010,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/pacb
BNFT,Benefitfocus Inc.,26.13,854.37,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bnft
CGBD,TCG BDC Inc.,14.24,850.91,2017,Not Available,Not Available,https://www.nasdaq.com/symbol/cgbd
IHRT,iHeartMedia Inc.,13.21,849.63,1900,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/ihrt
CTWS,Connecticut Water Service Inc.,70.2,847.21,1900,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/ctws
OFLX,Omega Flex Inc.,83.88,846.71,1900,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/oflx
FIXD,First Trust TCW Opportunistic Fixed Income ETF,52.9,846.4,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/fixd
PATK,Patrick Industries Inc.,35.32,843.05,1900,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/patk
ZIOP,ZIOPHARM Oncology Inc,5.14,835.52,1900,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ziop
NSTG,NanoString Technologies Inc.,23.57,835.42,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nstg
GOGL,Golden Ocean Group Limited,5.82,835.19,1900,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/gogl
FIXX,Homology Medicines Inc.,18.89,830.52,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fixx
COOP,Mr. Cooper Group Inc.,9.09,827.88,1900,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/coop
PEY,Invesco High Yield Equity Dividend Achievers ETF,17.515,827.58,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/pey
FNX,First Trust Mid Cap Core AlphaDEX Fund,65.1,826.77,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/fnx
PGTI,PGT Innovations Inc.,14.09,825.47,2006,Capital Goods,Building Products,https://www.nasdaq.com/symbol/pgti
PI,Impinj Inc.,37.88,824.32,2016,Capital Goods,Industrial Machinery Components,https://www.nasdaq.com/symbol/pi
AKRO,Akero Therapeutics Inc.,28.65,818.11,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akro
SYBT,Stock Yards Bancorp Inc.,35.98,817.6,1900,Finance,Major Banks,https://www.nasdaq.com/symbol/sybt
EXTR,Extreme Networks Inc.,6.84,815.14,1999,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/extr
VNET,21Vianet Group Inc.,7.23,812.6,2011,Technology,Computer Software: Programming Data Processing,https://www.nasdaq.com/symbol/vnet
